,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região
28379,28379,2009,23,2700,18,1,4.0,4.0,1.0,2.0,1.0,1.0,9.0,3.0,1.0,,,2.0,3.0,,1.0,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,4.0,2.0,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,498.0,156.0,353,230025,524,1.0,4.0,39.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28380,28380,2009,23,2700,19,1,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,,2.0,3.0,,1.0,,3.0,,,,4.0,3.0,4.0,4.0,3.0,4.0,,4.0,1.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,498.0,158.0,353,230025,524,1.0,3.0,52.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28382,28382,2009,23,2700,21,1,2.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,,4.0,2.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,498.0,1086.0,353,230025,524,1.0,2.0,543.0,4.0,9.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28389,28389,2009,23,2719,6,1,5.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,1.0,2.0,1.0,2.0,,3.0,6.0,3.0,4.0,3.0,,4.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0159697578,12,4876759,500,498.0,687.0,353,230025,524,1.0,5.0,137.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28398,28398,2009,23,2719,15,1,5.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,,4.0,3.0,,3.0,4.0,3.0,,,,3.0,1.0,4.0,4.0,3.0,4.0,,4.0,1.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0159697578,12,4876759,500,498.0,184.0,353,230025,524,1.0,5.0,36.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28402,28402,2009,23,2719,19,1,5.0,5.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,,,4.0,1.0,2.0,,,3.0,,,,3.0,1.0,4.0,4.0,1.0,,3.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,4.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0159697578,12,4876759,500,498.0,1568.0,353,230025,524,1.0,5.0,313.0,3.0,8.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,,3.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28411,28411,2009,23,2719,28,1,5.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,4.0,3.0,,3.0,2.0,3.0,,,,3.0,1.0,4.0,4.0,1.0,,1.0,4.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0159697578,12,4876759,500,499.0,577.0,353,230025,524,1.0,5.0,115.0,1.0,3.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28412,28412,2009,23,2727,1,1,9.0,6.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,,,4.0,3.0,,3.0,4.0,3.0,,,,3.0,3.0,4.0,4.0,1.0,,3.0,2.0,1.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,4.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0104150594,8,4876759,500,499.0,415.0,353,230025,524,1.0,9.0,46.0,1.0,3.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28414,28414,2009,23,2727,3,1,12.0,7.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,,,4.0,3.0,,3.0,4.0,3.0,,,,3.0,3.0,4.0,4.0,1.0,,3.0,4.0,1.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0104150594,8,4876759,500,499.0,989.0,353,230025,524,1.0,12.0,82.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28415,28415,2009,23,2727,4,1,3.0,3.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,,3.0,2.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2315,2,0.1531178325,5,0.0104150594,8,4876759,500,498.0,1132.0,353,230025,524,1.0,3.0,377.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
