,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região
818,818,2009,11,414,14,1,3.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,3.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.188933072,5,0.0391228507,15,1198438,200,255.0,100.0,279,110011,76,1.0,3.0,33.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
836,836,2009,11,422,8,1,4.0,4.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,200.0,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,3.0,4.0,1.0,2.0,,1.0,2.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.188933072,5,0.0399950162,15,1198438,200,255.0,250.0,279,110011,76,1.0,3.0,83.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
839,839,2009,11,422,11,1,4.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,100.0,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.188933072,5,0.0399950162,15,1198438,200,256.0,240.0,279,110011,76,1.0,4.0,60.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
916,916,2009,11,457,13,1,11.0,9.0,1.0,2.0,1.0,1.0,8.0,7.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,1.0,2.0,3.0,4.0,3.0,,4.0,1,0,2,26,9,1104,1,1.0,26,0.0036522565,19,1198438,200,255.0,1180.0,143,110004,20,1.0,11.0,107.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
1045,1045,2009,11,538,8,1,5.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,250.0,,,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1104,1,1.0,26,0.0032383341,17,1198438,200,255.0,1665.0,143,110004,28,1.0,5.0,333.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
1136,1136,2009,11,597,4,1,5.0,4.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1104,1,1.0,26,0.0040053079,21,1198438,200,256.0,1080.0,143,110004,34,1.0,5.0,216.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
1157,1157,2009,11,600,5,1,6.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,100.0,,,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1104,1,1.0,26,0.0062575328,33,1198438,200,256.0,465.0,143,110004,35,1.0,6.0,77.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
1161,1161,2009,11,600,9,1,4.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,150.0,,,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1104,1,1.0,26,0.0062575328,33,1198438,200,255.0,560.0,143,110004,35,1.0,4.0,140.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
1165,1165,2009,11,600,13,1,4.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1104,1,1.0,26,0.0062575328,33,1198438,200,255.0,665.0,143,110004,35,1.0,4.0,166.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
1186,1186,2009,11,627,2,1,4.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,,1.0,2.0,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1104,1,1.0,26,0.0028609342,15,1198438,200,255.0,1565.0,143,110004,37,1.0,4.0,391.0,3.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
