,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região,Geladeira
18940,18940,2009,21,255,23,1,4.0,2.0,1.0,2.0,5.0,6.0,3.0,1.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,3.0,3.0,4.0,4.0,3.0,4.0,,Não possui,3.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2104,2,0.1059727365,5,0.0115801522,9,6548540,750,907.0,162.0,320,210006,54,1.0,4.0,40.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18955,18955,2009,21,263,15,1,4.0,4.0,1.0,2.0,1.0,1.0,7.0,3.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,4.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0099101889,13,6548540,750,906.0,2062.0,331,210014,68,1.0,4.0,515.0,4.0,9.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,Sim,4.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18956,18956,2009,21,263,16,1,6.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0099101889,13,6548540,750,906.0,465.0,331,210014,68,1.0,6.0,77.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18965,18965,2009,21,271,3,1,5.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,4.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0128694814,17,6548540,750,907.0,565.0,331,210014,68,1.0,5.0,113.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,4.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18976,18976,2009,21,271,14,1,4.0,4.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0128694814,17,6548540,750,907.0,1057.0,331,210014,68,1.0,4.0,264.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,20120710,Nordeste,Sim
18990,18990,2009,21,280,6,1,6.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0094972644,13,6548540,750,907.0,435.0,331,210014,68,1.0,6.0,72.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18998,18998,2009,21,280,14,1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0094972644,13,6548540,750,907.0,465.0,331,210014,68,1.0,1.0,465.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,4.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
19005,19005,2009,21,280,21,1,5.0,5.0,1.0,2.0,1.0,1.0,6.0,3.0,3.0,80.0,,,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0094972644,13,6548540,750,906.0,960.0,331,210014,68,1.0,5.0,192.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
19009,19009,2009,21,298,3,1,3.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0115962974,16,6548540,750,906.0,592.0,331,210014,68,1.0,3.0,197.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Nordeste,Sim
19010,19010,2009,21,298,4,1,10.0,9.0,1.0,2.0,3.0,1.0,6.0,3.0,1.0,,,4.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2109,2,0.1805003968,5,0.0115962974,16,6548540,750,906.0,2179.0,331,210014,68,1.0,10.0,217.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Nordeste,Sim
